http://www.dermstore.com/blog/how-to-pamper-your-skin-when-traveling/,1,2,3,4,5,6,7,8,9,10
Loading time without tag,6.37054181098938,2.2755839824676514,2.623750925064087,4.00053596496582,4.198176145553589,4.928086996078491,6.059124946594238,3.8152689933776855,3.5740411281585693,3.871843099594116
Loading time with tag,7.370037078857422,9.452744007110596,5.098106145858765,5.808659076690674,5.525763988494873,4.997282028198242,4.711687088012695,3.5012459754943848,3.2970499992370605,3.27833890914917
Preload loading time,0.37142300605773926,0.04683804512023926,0.2025148868560791,0.028436899185180664,0.2281019687652588,0.03914189338684082,0.13571906089782715,0.14746904373168945,0.13823914527893066,0.14501309394836426
Layer loading time,1.1101760864257812,1.2353382110595703,1.0480329990386963,0.8720169067382812,1.128929853439331,0.9123690128326416,0.6354520320892334,0.6712679862976074,0.7623081207275391,0.8608310222625732
990 loading time,1.1101760864257812,1.2353382110595703,1.0480329990386963,0.8720169067382812,1.128929853439331,0.9123690128326416,0.6354520320892334,0.6712679862976074,0.7623081207275391,0.8608310222625732

http://www.alo.rs/gradic-od-7-000-stanovnika-ima-svoju-drustvenu-mrezu/107289,1,2,3,4,5,6,7,8,9,10
Loading time without tag,14.115840911865234,6.9567320346832275,6.400576114654541,7.914007902145386,9.733013153076172,10.673995018005371,14.25946593284607,10.534977912902832,9.448522090911865,10.420552968978882
Loading time with tag,18.741513967514038,9.455183982849121,11.020134925842285,10.485482931137085,12.945059061050415,9.8665189743042,15.094789028167725,14.195050954818726,9.764644145965576,8.459781169891357
Preload loading time,0.08325886726379395,0.02002716064453125,0.08119392395019531,0.0312039852142334,0.13608288764953613,0.08291006088256836,0.036253929138183594,0.01904606819152832,0.24863100051879883,0.0953531265258789
Layer loading time,0.18162989616394043,0.05739712715148926,0.09316897392272949,0.06116318702697754,0.16778182983398438,0.1752610206604004,0.05206108093261719,0.028710126876831055,0.33446311950683594,0.1368091106414795
990 loading time,0.18162989616394043,0.05739712715148926,0.09316897392272949,0.06116318702697754,0.16778182983398438,0.1752610206604004,0.05206108093261719,0.028710126876831055,0.33446311950683594,0.1368091106414795

http://www.viralitytoday.com/7-steps-how-your-kids-gonna-look,1,2,3,4,5,6,7,8,9,10
Loading time without tag,6.4142820835113525,4.0252649784088135,6.131407976150513,4.181632995605469,4.129024982452393,5.828879117965698,3.940479040145874,3.1276168823242188,3.1028029918670654,3.0463249683380127
Loading time with tag,10.126413106918335,4.987318992614746,6.8708860874176025,5.566586971282959,5.485672950744629,4.654229164123535,4.029529809951782,3.526202917098999,5.298667907714844,3.5435519218444824
Preload loading time,0.03308606147766113,0.014468908309936523,0.0384058952331543,0.018972158432006836,0.03143501281738281,0.009344100952148438,0.019782066345214844,0.024832963943481445,0.012331962585449219,0.013664960861206055
Layer loading time,0.07273697853088379,0.022711992263793945,0.06686782836914062,0.03812909126281738,0.05632805824279785,0.01768803596496582,0.030681133270263672,0.03736710548400879,0.02079606056213379,0.024507999420166016
990 loading time,0.07273697853088379,0.022711992263793945,0.06686782836914062,0.03812909126281738,0.05632805824279785,0.01768803596496582,0.030681133270263672,0.03736710548400879,0.02079606056213379,0.024507999420166016

http://www.lespeople.io/tv/top-9-de-celebrites-lesbiennes-qui-ont-eu-des-relations-bisexuelles/,1,2,3,4,5,6,7,8,9,10
Loading time without tag,4.945749998092651,3.066694974899292,2.2660179138183594,2.246049165725708,2.827599048614502,2.3877220153808594,2.6818947792053223,3.0911269187927246,3.296403169631958,5.042099952697754
Loading time with tag,5.551206111907959,9.98042106628418,7.522134065628052,4.889220952987671,3.522120952606201,3.4408531188964844,3.8987319469451904,3.421751022338867,3.6225430965423584,3.5571200847625732
Preload loading time,0.0228271484375,0.011208057403564453,0.08015584945678711,0.006711006164550781,0.03961300849914551,0.02279496192932129,0.024695158004760742,0.0175631046295166,0.049458980560302734,0.023999929428100586
Layer loading time,0.5059270858764648,0.027483224868774414,0.10704588890075684,0.01778888702392578,0.05156397819519043,0.04188799858093262,0.03636813163757324,0.03285098075866699,0.09642696380615234,0.04321098327636719
